"Goals","factor","GF","KA","KP","LN","MDK","MP","TS","ZH"
"I will be more outgoing and friendly and try to make at least one new friend in my new community.","Value",NA,NA,5.11111111111111,NA,NA,NA,4.44444444444444,NA
"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.","Clarity",NA,NA,6.33333333333333,6.16666666666667,NA,NA,NA,NA
"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.","Consensus",NA,NA,2.25,1,NA,NA,NA,NA
"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.","External",NA,NA,5,3.4,NA,NA,NA,NA
"I will do something enjoyable in the community each week that I have not been able to due because of covid, such as eat out, go to beach, explore my new community.","Value",NA,NA,4.875,4.22222222222222,NA,NA,NA,NA
"I will eat better, exercise daily, and lose 10 pounds in three months.","Clarity",NA,NA,NA,NA,NA,5.5,NA,5.66666666666667
"I will eat better, exercise daily, and lose 10 pounds in three months.","Consensus",NA,NA,NA,NA,NA,3,NA,2.5
"I will eat better, exercise daily, and lose 10 pounds in three months.","External",NA,NA,NA,NA,NA,5.2,NA,3.4
"I will eat better, exercise daily, and lose 10 pounds in three months.","Value",NA,NA,NA,NA,NA,4.77777777777778,NA,4
"I would like my weight to go below 200 pounds within 3 months.","Clarity",NA,NA,NA,NA,NA,NA,5.5,NA
"I would like my weight to go below 200 pounds within 3 months.","Consensus",NA,NA,NA,NA,NA,NA,1.25,NA
"I would like my weight to go below 200 pounds within 3 months.","External",NA,NA,NA,NA,NA,NA,3,NA
"I would like my weight to go below 200 pounds within 3 months.","Value",NA,NA,NA,NA,NA,NA,4,NA
"I would like to add $1500 to my savings account.","Clarity",5,NA,NA,NA,7,NA,NA,NA
"I would like to add $1500 to my savings account.","Consensus",3.25,NA,NA,NA,4.25,NA,NA,NA
"I would like to add $1500 to my savings account.","External",2.2,NA,NA,NA,2.6,NA,NA,NA
"I would like to add $1500 to my savings account.","Value",3.77777777777778,NA,NA,NA,3.44444444444444,NA,NA,NA
"I would like to assemble the portable piano, treadmill and put up the mini-blinds.","Clarity",NA,7.33333333333333,NA,NA,NA,NA,5,NA
"I would like to assemble the portable piano, treadmill and put up the mini-blinds.","Consensus",NA,1,NA,NA,NA,NA,0.5,NA
"I would like to assemble the portable piano, treadmill and put up the mini-blinds.","External",NA,2.4,NA,NA,NA,NA,3.4,NA
"I would like to assemble the portable piano, treadmill and put up the mini-blinds.","Value",NA,3.22222222222222,NA,NA,NA,NA,2.55555555555556,NA
"I would like to attempt to write a novel in a new narrative style that is new to me and differs from previous works.","Clarity",4.16666666666667,NA,NA,5.33333333333333,NA,NA,NA,NA
"I would like to attempt to write a novel in a new narrative style that is new to me and differs from previous works.","Consensus",-0.25,NA,NA,0.5,NA,NA,NA,NA
"I would like to attempt to write a novel in a new narrative style that is new to me and differs from previous works.","External",1.2,NA,NA,2.2,NA,NA,NA,NA
"I would like to attempt to write a novel in a new narrative style that is new to me and differs from previous works.","Value",3.88888888888889,NA,NA,3.66666666666667,NA,NA,NA,NA
"I would like to clean out my garage over the next month.","Clarity",NA,6,NA,NA,6,NA,NA,NA
"I would like to clean out my garage over the next month.","Consensus",NA,1,NA,NA,2,NA,NA,NA
"I would like to clean out my garage over the next month.","External",NA,4.4,NA,NA,3,NA,NA,NA
"I would like to clean out my garage over the next month.","Value",NA,3.625,NA,NA,2.66666666666667,NA,NA,NA
"I would like to complete a special project at work.","Clarity",NA,NA,5,5.33333333333333,NA,NA,NA,NA
"I would like to complete a special project at work.","Consensus",NA,NA,2,2,NA,NA,NA,NA
"I would like to complete a special project at work.","External",NA,NA,6,3.8,NA,NA,NA,NA
"I would like to complete a special project at work.","Value",NA,NA,4.16666666666667,3.55555555555556,NA,NA,NA,NA
"I would like to complete my course and be ready for an exam by july.","Clarity",NA,NA,6.5,5.66666666666667,NA,NA,NA,NA
"I would like to complete my course and be ready for an exam by july.","Consensus",NA,NA,3,1.5,NA,NA,NA,NA
"I would like to complete my course and be ready for an exam by july.","External",NA,NA,4.33333333333333,4.2,NA,NA,NA,NA
"I would like to complete my course and be ready for an exam by july.","Value",NA,NA,5,3.66666666666667,NA,NA,NA,NA
"I would like to complete my spring session discipleship class with perfect attendance","Clarity",6.5,7.16666666666667,NA,NA,NA,NA,NA,NA
"I would like to complete my spring session discipleship class with perfect attendance","Consensus",1.75,1.25,NA,NA,NA,NA,NA,NA
"I would like to complete my spring session discipleship class with perfect attendance","External",5.2,5,NA,NA,NA,NA,NA,NA
"I would like to complete my spring session discipleship class with perfect attendance","Value",4.22222222222222,4.22222222222222,NA,NA,NA,NA,NA,NA
"I would like to completely clean my house","Clarity",NA,NA,NA,NA,6,NA,6.33333333333333,NA
"I would like to completely clean my house","Consensus",NA,NA,NA,NA,2.5,NA,1.5,NA
"I would like to completely clean my house","External",NA,NA,NA,NA,4,NA,3.6,NA
"I would like to completely clean my house","Value",NA,NA,NA,NA,3,NA,2.88888888888889,NA
"I would like to decrease my credit card debt by $1000 over the next 2 months","Clarity",NA,NA,NA,5,7.16666666666667,NA,NA,NA
"I would like to decrease my credit card debt by $1000 over the next 2 months","Consensus",NA,NA,NA,2.5,4,NA,NA,NA
"I would like to decrease my credit card debt by $1000 over the next 2 months","External",NA,NA,NA,3.8,3.4,NA,NA,NA
"I would like to decrease my credit card debt by $1000 over the next 2 months","Value",NA,NA,NA,3.22222222222222,4.33333333333333,NA,NA,NA
"I would like to find a boyfriend.","Clarity",3.33333333333333,NA,NA,NA,4.16666666666667,NA,NA,NA
"I would like to find a boyfriend.","Consensus",1.5,NA,NA,NA,3,NA,NA,NA
"I would like to find a boyfriend.","External",1.4,NA,NA,NA,4.4,NA,NA,NA
"I would like to find a boyfriend.","Value",2.77777777777778,NA,NA,NA,4.44444444444444,NA,NA,NA
"I would like to get a better job","Clarity",NA,4.83333333333333,4,NA,NA,4.5,NA,NA
"I would like to get a better job","Consensus",NA,2.5,3.5,NA,NA,3,NA,NA
"I would like to get a better job","External",NA,3.2,3.4,NA,NA,5.2,NA,NA
"I would like to get a better job","Value",NA,5.44444444444444,4.25,NA,NA,4.88888888888889,NA,NA
"I would like to get back into the workforce. I have been out of work for a year, due to the pandemic. I am actively seeking a position.","Clarity",5.33333333333333,NA,4.66666666666667,NA,NA,NA,NA,NA
"I would like to get back into the workforce. I have been out of work for a year, due to the pandemic. I am actively seeking a position.","Consensus",4.25,NA,4.25,NA,NA,NA,NA,NA
"I would like to get back into the workforce. I have been out of work for a year, due to the pandemic. I am actively seeking a position.","External",5.2,NA,5,NA,NA,NA,NA,NA
"I would like to get back into the workforce. I have been out of work for a year, due to the pandemic. I am actively seeking a position.","Value",3,NA,4.66666666666667,NA,NA,NA,NA,NA
"I would like to get my garden started by April.","Clarity",3.83333333333333,NA,6,NA,NA,NA,NA,NA
"I would like to get my garden started by April.","Consensus",0.75,NA,1.75,NA,NA,NA,NA,NA
"I would like to get my garden started by April.","External",3.8,NA,3,NA,NA,NA,NA,NA
"I would like to get my garden started by April.","Value",2,NA,4.125,NA,NA,NA,NA,NA
"I would like to get some botox and fillers before the end of year.","Clarity",NA,NA,6.25,NA,NA,4.25,NA,NA
"I would like to get some botox and fillers before the end of year.","Consensus",NA,NA,1,NA,NA,1.5,NA,NA
"I would like to get some botox and fillers before the end of year.","External",NA,NA,4,NA,NA,4.2,NA,NA
"I would like to get some botox and fillers before the end of year.","Value",NA,NA,3.5,NA,NA,3.125,NA,NA
"I would like to increase my run distance from 8 miles to 12 miles over the next 6 weeks.","Clarity",6.5,NA,6.5,NA,NA,NA,NA,NA
"I would like to increase my run distance from 8 miles to 12 miles over the next 6 weeks.","Consensus",1.25,NA,3,NA,NA,NA,NA,NA
"I would like to increase my run distance from 8 miles to 12 miles over the next 6 weeks.","External",1.6,NA,NA,NA,NA,NA,NA,NA
"I would like to increase my run distance from 8 miles to 12 miles over the next 6 weeks.","Value",4.22222222222222,NA,4,NA,NA,NA,NA,NA
"I would like to lose 15 pounds over the next 3 months.","Clarity",NA,NA,NA,5.16666666666667,NA,NA,5.33333333333333,NA
"I would like to lose 15 pounds over the next 3 months.","Consensus",NA,NA,NA,2.5,NA,NA,0.75,NA
"I would like to lose 15 pounds over the next 3 months.","External",NA,NA,NA,3,NA,NA,3.4,NA
"I would like to lose 15 pounds over the next 3 months.","Value",NA,NA,NA,3.33333333333333,NA,NA,3.88888888888889,NA
"I would like to lose 20 lbs","Clarity",NA,NA,NA,NA,6.5,NA,NA,NA
"I would like to lose 20 lbs","Consensus",NA,NA,NA,NA,2.75,NA,NA,NA
"I would like to lose 20 lbs","External",NA,NA,NA,NA,4.6,NA,NA,NA
"I would like to lose 20 lbs","Value",NA,NA,NA,NA,5.88888888888889,NA,NA,NA
"I would like to lose 5 pounds of weight in the next 3 months.","Clarity",NA,NA,NA,5.33333333333333,NA,NA,6.16666666666667,NA
"I would like to lose 5 pounds of weight in the next 3 months.","Consensus",NA,NA,NA,3.25,NA,NA,2,NA
"I would like to lose 5 pounds of weight in the next 3 months.","External",NA,NA,NA,2.4,NA,NA,2.6,NA
"I would like to lose 5 pounds of weight in the next 3 months.","Value",NA,NA,NA,3.44444444444444,NA,NA,4.22222222222222,NA
"I would like to lose weight and become physically fit over the next three months.","Clarity",5.83333333333333,NA,NA,5.16666666666667,NA,NA,NA,NA
"I would like to lose weight and become physically fit over the next three months.","Consensus",3.25,NA,NA,3.25,NA,NA,NA,NA
"I would like to lose weight and become physically fit over the next three months.","External",2.2,NA,NA,3.4,NA,NA,NA,NA
"I would like to lose weight and become physically fit over the next three months.","Value",4.44444444444444,NA,NA,3.55555555555556,NA,NA,NA,NA
"I would like to make preparations before May 15th for a possible disruption in the supply chain.","Clarity",NA,NA,NA,NA,5.66666666666667,NA,5.16666666666667,NA
"I would like to make preparations before May 15th for a possible disruption in the supply chain.","Consensus",NA,NA,NA,NA,0.75,NA,0.75,NA
"I would like to make preparations before May 15th for a possible disruption in the supply chain.","External",NA,NA,NA,NA,3.4,NA,4.4,NA
"I would like to make preparations before May 15th for a possible disruption in the supply chain.","Value",NA,NA,NA,NA,5.66666666666667,NA,3.375,NA
"I would like to pay off a lot of my credit card bills.","Clarity",NA,NA,NA,NA,NA,NA,5.16666666666667,3.83333333333333
"I would like to pay off a lot of my credit card bills.","Consensus",NA,NA,NA,NA,NA,NA,2.5,3.75
"I would like to pay off a lot of my credit card bills.","External",NA,NA,NA,NA,NA,NA,3.8,5.8
"I would like to pay off a lot of my credit card bills.","Value",NA,NA,NA,NA,NA,NA,3.55555555555556,4.75
"I would like to pursue a teaching job at a campus close to my home before the 2021/2022 semester.","Clarity",4.16666666666667,NA,NA,NA,NA,4.33333333333333,NA,NA
"I would like to pursue a teaching job at a campus close to my home before the 2021/2022 semester.","Consensus",1.75,NA,NA,NA,NA,2.25,NA,NA
"I would like to pursue a teaching job at a campus close to my home before the 2021/2022 semester.","External",3.4,NA,NA,NA,NA,5.8,NA,NA
"I would like to pursue a teaching job at a campus close to my home before the 2021/2022 semester.","Value",4.33333333333333,NA,NA,NA,NA,5.11111111111111,NA,NA
"I would like to read at least one book every month.","Clarity",6.66666666666667,NA,NA,NA,7.66666666666667,NA,NA,NA
"I would like to read at least one book every month.","Consensus",1.75,NA,NA,NA,0.5,NA,NA,NA
"I would like to read at least one book every month.","External",1,NA,NA,NA,1,NA,NA,NA
"I would like to read at least one book every month.","Value",3.44444444444444,NA,NA,NA,2.88888888888889,NA,NA,NA
"I would like to read one scripture every for 3 months.","Clarity",NA,NA,NA,5.5,NA,NA,NA,5.66666666666667
"I would like to read one scripture every for 3 months.","Consensus",NA,NA,NA,1.25,NA,NA,NA,0.5
"I would like to read one scripture every for 3 months.","External",NA,NA,NA,2.4,NA,NA,NA,3.8
"I would like to read one scripture every for 3 months.","Value",NA,NA,NA,3,NA,NA,NA,3
"I would like to research on how to invest money and then actually invest money in the next three months.","Clarity",NA,NA,NA,NA,6.66666666666667,NA,NA,5
"I would like to research on how to invest money and then actually invest money in the next three months.","Consensus",NA,NA,NA,NA,1.25,NA,NA,1.75
"I would like to research on how to invest money and then actually invest money in the next three months.","External",NA,NA,NA,NA,1,NA,NA,3.6
"I would like to research on how to invest money and then actually invest money in the next three months.","Value",NA,NA,NA,NA,4.33333333333333,NA,NA,4.5
"I would like to save at least $300 more dollars in my brokerage account by then end of three months.","Clarity",NA,6.83333333333333,NA,NA,6.66666666666667,NA,NA,NA
"I would like to save at least $300 more dollars in my brokerage account by then end of three months.","Consensus",NA,0.5,NA,NA,3.5,NA,NA,NA
"I would like to save at least $300 more dollars in my brokerage account by then end of three months.","External",NA,2.2,NA,NA,4.4,NA,NA,NA
"I would like to save at least $300 more dollars in my brokerage account by then end of three months.","Value",NA,3.125,NA,NA,4.66666666666667,NA,NA,NA
"I would like to save at least two hundred dollars in the next month.","Clarity",NA,6.83333333333333,NA,NA,6.83333333333333,NA,NA,NA
"I would like to save at least two hundred dollars in the next month.","Consensus",NA,2.25,NA,NA,3.75,NA,NA,NA
"I would like to save at least two hundred dollars in the next month.","External",NA,3.4,NA,NA,3.6,NA,NA,NA
"I would like to save at least two hundred dollars in the next month.","Value",NA,3.55555555555556,NA,NA,3.22222222222222,NA,NA,NA
"I would like to save for an purchase necessary backpacking and camping gear by the beginning of July 1, 2021.","Clarity",NA,NA,NA,NA,6.16666666666667,5.5,NA,NA
"I would like to save for an purchase necessary backpacking and camping gear by the beginning of July 1, 2021.","Consensus",NA,NA,NA,NA,2.5,1.75,NA,NA
"I would like to save for an purchase necessary backpacking and camping gear by the beginning of July 1, 2021.","External",NA,NA,NA,NA,2.2,4.6,NA,NA
"I would like to save for an purchase necessary backpacking and camping gear by the beginning of July 1, 2021.","Value",NA,NA,NA,NA,3.77777777777778,4.22222222222222,NA,NA
"I would like to save for and take a major vacation in July, preferable to an outdoor location.","Clarity",NA,NA,NA,NA,6.33333333333333,4,NA,NA
"I would like to save for and take a major vacation in July, preferable to an outdoor location.","Consensus",NA,NA,NA,NA,1.75,2.5,NA,NA
"I would like to save for and take a major vacation in July, preferable to an outdoor location.","External",NA,NA,NA,NA,5.6,4.6,NA,NA
"I would like to save for and take a major vacation in July, preferable to an outdoor location.","Value",NA,NA,NA,NA,4.77777777777778,5.11111111111111,NA,NA
"I would like to scan and digitalize all of my physical photographs in order to preserve them and do this by the end of summer 2021.","Clarity",7,NA,NA,NA,NA,NA,6.5,NA
"I would like to scan and digitalize all of my physical photographs in order to preserve them and do this by the end of summer 2021.","Consensus",0,NA,NA,NA,NA,NA,0.75,NA
"I would like to scan and digitalize all of my physical photographs in order to preserve them and do this by the end of summer 2021.","External",2,NA,NA,NA,NA,NA,2.4,NA
"I would like to scan and digitalize all of my physical photographs in order to preserve them and do this by the end of summer 2021.","Value",1.55555555555556,NA,NA,NA,NA,NA,4.11111111111111,NA
"I would like to sort and remove all traces of toddler and baby items in my home as my children are all older now. I would also like to redecorate my home to coincide with having older children.","Clarity",NA,NA,4.25,NA,NA,5.66666666666667,NA,NA
"I would like to sort and remove all traces of toddler and baby items in my home as my children are all older now. I would also like to redecorate my home to coincide with having older children.","Consensus",NA,NA,NA,NA,NA,1.75,NA,NA
"I would like to sort and remove all traces of toddler and baby items in my home as my children are all older now. I would also like to redecorate my home to coincide with having older children.","External",NA,NA,5,NA,NA,5.8,NA,NA
"I would like to sort and remove all traces of toddler and baby items in my home as my children are all older now. I would also like to redecorate my home to coincide with having older children.","Value",NA,NA,3.33333333333333,NA,NA,4.11111111111111,NA,NA
"I would like to spend at least 30 minutes a week looking for a part time job.","Clarity",NA,6.5,4.66666666666667,NA,NA,NA,NA,5.33333333333333
"I would like to spend at least 30 minutes a week looking for a part time job.","Consensus",NA,1.5,2.25,NA,NA,NA,NA,2
"I would like to spend at least 30 minutes a week looking for a part time job.","External",NA,4.4,3.6,NA,NA,NA,NA,4.8
"I would like to spend at least 30 minutes a week looking for a part time job.","Value",NA,3.875,4.33333333333333,NA,NA,NA,NA,4.25
"I would like to start saving more for my retirement and I have started putting extra money every week in my savings account.","Clarity",NA,6.5,NA,5.66666666666667,NA,NA,NA,NA
"I would like to start saving more for my retirement and I have started putting extra money every week in my savings account.","Consensus",NA,3,NA,2.75,NA,NA,NA,NA
"I would like to start saving more for my retirement and I have started putting extra money every week in my savings account.","External",NA,2.4,NA,2.6,NA,NA,NA,NA
"I would like to start saving more for my retirement and I have started putting extra money every week in my savings account.","Value",NA,3.22222222222222,NA,3.11111111111111,NA,NA,NA,NA
"I would love to finally finish a show","Clarity",NA,6.33333333333333,7.66666666666667,NA,NA,NA,NA,NA
"I would love to finally finish a show","Consensus",NA,1.5,1.25,NA,NA,NA,NA,NA
"I would love to finally finish a show","External",NA,1.2,1,NA,NA,NA,NA,NA
"I would love to finally finish a show","Value",NA,2.88888888888889,2.33333333333333,NA,NA,NA,NA,NA
"I'd like to make progress towards finding a new job not doing gig work","Clarity",NA,NA,5,5,NA,NA,NA,NA
"I'd like to make progress towards finding a new job not doing gig work","Consensus",NA,NA,0,3.25,NA,NA,NA,NA
"I'd like to make progress towards finding a new job not doing gig work","External",NA,NA,4.33333333333333,5,NA,NA,NA,NA
"I'd like to make progress towards finding a new job not doing gig work","Value",NA,NA,4.33333333333333,4.11111111111111,NA,NA,NA,NA
"I'd like to make progress towards losing a little bit of weight so I can have a toned figure.","Clarity",NA,NA,NA,5.33333333333333,6.66666666666667,NA,NA,NA
"I'd like to make progress towards losing a little bit of weight so I can have a toned figure.","Consensus",NA,NA,NA,3,4.25,NA,NA,NA
"I'd like to make progress towards losing a little bit of weight so I can have a toned figure.","External",NA,NA,NA,3,2.8,NA,NA,NA
"I'd like to make progress towards losing a little bit of weight so I can have a toned figure.","Value",NA,NA,NA,3.55555555555556,4.22222222222222,NA,NA,NA
"I'd like to make progress towards paying off back child support","Clarity",NA,6,NA,4.83333333333333,NA,NA,NA,NA
"I'd like to make progress towards paying off back child support","Consensus",NA,2,NA,2.5,NA,NA,NA,NA
"I'd like to make progress towards paying off back child support","External",NA,5.8,NA,4.6,NA,NA,NA,NA
"I'd like to make progress towards paying off back child support","Value",NA,4.55555555555556,NA,3.77777777777778,NA,NA,NA,NA
"I'm going to work out at least 4-5 days a week.","Clarity",NA,NA,NA,NA,NA,4.16666666666667,NA,5.66666666666667
"I'm going to work out at least 4-5 days a week.","Consensus",NA,NA,NA,NA,NA,2,NA,3
"I'm going to work out at least 4-5 days a week.","External",NA,NA,NA,NA,NA,4.2,NA,3.8
"I'm going to work out at least 4-5 days a week.","Value",NA,NA,NA,NA,NA,3.66666666666667,NA,4.125
"I'm hoping to graduate from Undergrad in the fall of this year.","Clarity",6.83333333333333,NA,NA,NA,6,NA,NA,NA
"I'm hoping to graduate from Undergrad in the fall of this year.","Consensus",2.25,NA,NA,NA,2.75,NA,NA,NA
"I'm hoping to graduate from Undergrad in the fall of this year.","External",6.2,NA,NA,NA,5.4,NA,NA,NA
"I'm hoping to graduate from Undergrad in the fall of this year.","Value",6.11111111111111,NA,NA,NA,5.66666666666667,NA,NA,NA
"I'm plan to build my credit","Clarity",NA,5.4,NA,NA,NA,NA,NA,5
"I'm plan to build my credit","Consensus",NA,3,NA,NA,NA,NA,NA,3.75
"I'm plan to build my credit","External",NA,3.6,NA,NA,NA,NA,NA,4.8
"I'm plan to build my credit","Value",NA,5.11111111111111,NA,NA,NA,NA,NA,4.625
"Improve my cardiovascular fitness by running a 6 minute mile","Clarity",NA,NA,NA,NA,6.83333333333333,NA,6.33333333333333,NA
"Improve my cardiovascular fitness by running a 6 minute mile","Consensus",NA,NA,NA,NA,3,NA,-0.5,NA
"Improve my cardiovascular fitness by running a 6 minute mile","External",NA,NA,NA,NA,1.4,NA,1.6,NA
"Improve my cardiovascular fitness by running a 6 minute mile","Value",NA,NA,NA,NA,3.66666666666667,NA,3.55555555555556,NA
"Improve oral health.","Clarity",NA,5.66666666666667,NA,4.66666666666667,NA,NA,NA,NA
"Improve oral health.","Consensus",NA,4,NA,2.5,NA,NA,NA,NA
"Improve oral health.","External",NA,4.5,NA,3.4,NA,NA,NA,NA
"Improve oral health.","Value",NA,3.375,NA,2.88888888888889,NA,NA,NA,NA
"Improve sales","Clarity",NA,4,NA,NA,NA,3.16666666666667,NA,NA
"Improve sales","Consensus",NA,3.66666666666667,NA,NA,NA,2.25,NA,NA
"Improve sales","External",NA,5,NA,NA,NA,5.6,NA,NA
"Improve sales","Value",NA,4.75,NA,NA,NA,4,NA,NA
"Improving my music sight reading skills. Continuously during the 3 months.","Clarity",NA,NA,NA,5.66666666666667,NA,NA,5.5,NA
"Improving my music sight reading skills. Continuously during the 3 months.","Consensus",NA,NA,NA,0.25,NA,NA,0,NA
"Improving my music sight reading skills. Continuously during the 3 months.","External",NA,NA,NA,2,NA,NA,1.8,NA
"Improving my music sight reading skills. Continuously during the 3 months.","Value",NA,NA,NA,2.66666666666667,NA,NA,3.77777777777778,NA
"improving physical health","Clarity",NA,NA,NA,4.16666666666667,4.66666666666667,NA,NA,NA
"improving physical health","Consensus",NA,NA,NA,3,3.5,NA,NA,NA
"improving physical health","External",NA,NA,NA,2.4,5.2,NA,NA,NA
"improving physical health","Value",NA,NA,NA,2.88888888888889,5.55555555555556,NA,NA,NA
"In 3 months I hope to lose enough weight to fit in my old clothing.","Clarity",NA,7,NA,NA,6.33333333333333,NA,NA,NA
"In 3 months I hope to lose enough weight to fit in my old clothing.","Consensus",NA,1.75,NA,NA,3.5,NA,NA,NA
"In 3 months I hope to lose enough weight to fit in my old clothing.","External",NA,3.4,NA,NA,4,NA,NA,NA
"In 3 months I hope to lose enough weight to fit in my old clothing.","Value",NA,4.88888888888889,NA,NA,3.55555555555556,NA,NA,NA
"In May, return to watercolor class and practice an additional day each week.","Clarity",NA,NA,NA,NA,7,NA,5.83333333333333,NA
"In May, return to watercolor class and practice an additional day each week.","Consensus",NA,NA,NA,NA,1.75,NA,0,NA
"In May, return to watercolor class and practice an additional day each week.","External",NA,NA,NA,NA,2.6,NA,2.6,NA
"In May, return to watercolor class and practice an additional day each week.","Value",NA,NA,NA,NA,3.88888888888889,NA,3.77777777777778,NA
"In the next three months, I plan on improving my home. This includes painting outside, installing a new sump pump and resealing my driveway.","Clarity",4.33333333333333,NA,NA,5.66666666666667,NA,NA,NA,NA
"In the next three months, I plan on improving my home. This includes painting outside, installing a new sump pump and resealing my driveway.","Consensus",0.75,NA,NA,1.5,NA,NA,NA,NA
"In the next three months, I plan on improving my home. This includes painting outside, installing a new sump pump and resealing my driveway.","External",2.4,NA,NA,3.8,NA,NA,NA,NA
"In the next three months, I plan on improving my home. This includes painting outside, installing a new sump pump and resealing my driveway.","Value",2.22222222222222,NA,NA,3.44444444444444,NA,NA,NA,NA
"In the next three months, I would like to reduce my debt by $1,000.","Clarity",NA,7,NA,NA,NA,5.33333333333333,NA,NA
"In the next three months, I would like to reduce my debt by $1,000.","Consensus",NA,2.5,NA,NA,NA,3.25,NA,NA
"In the next three months, I would like to reduce my debt by $1,000.","External",NA,2.8,NA,NA,NA,4,NA,NA
"In the next three months, I would like to reduce my debt by $1,000.","Value",NA,4.22222222222222,NA,NA,NA,4,NA,NA
"Increase number of steps per day to 10,000 in 3 months","Clarity",NA,NA,NA,NA,NA,6.16666666666667,NA,NA
"Increase number of steps per day to 10,000 in 3 months","Consensus",NA,NA,NA,NA,NA,2.25,NA,NA
"Increase number of steps per day to 10,000 in 3 months","External",NA,NA,NA,NA,NA,4.8,NA,NA
"Increase number of steps per day to 10,000 in 3 months","Value",NA,NA,NA,NA,NA,4.44444444444444,NA,NA
"is two make a $100 to $200 i n the stock market in the next 3 mo.","Clarity",NA,5,NA,4.66666666666667,NA,NA,NA,NA
"is two make a $100 to $200 i n the stock market in the next 3 mo.","Consensus",NA,0.75,NA,2,NA,NA,NA,NA
"is two make a $100 to $200 i n the stock market in the next 3 mo.","External",NA,1.8,NA,2.2,NA,NA,NA,NA
"is two make a $100 to $200 i n the stock market in the next 3 mo.","Value",NA,3.5,NA,2.66666666666667,NA,NA,NA,NA
"Jog three miles per day for five days during the week for a total of 15 miles per week.","Clarity",NA,NA,NA,NA,7.16666666666667,NA,NA,NA
"Jog three miles per day for five days during the week for a total of 15 miles per week.","Consensus",NA,NA,NA,NA,1.75,NA,NA,NA
"Jog three miles per day for five days during the week for a total of 15 miles per week.","External",NA,NA,NA,NA,3.4,NA,NA,NA
"Jog three miles per day for five days during the week for a total of 15 miles per week.","Value",NA,NA,NA,NA,4.22222222222222,NA,NA,NA
"Keep exercising and working to loose 30 pounds.","Clarity",NA,NA,NA,4.5,NA,NA,NA,NA
"Keep exercising and working to loose 30 pounds.","Consensus",NA,NA,NA,2.5,NA,NA,NA,NA
"Keep exercising and working to loose 30 pounds.","External",NA,NA,NA,2.4,NA,NA,NA,NA
"Keep exercising and working to loose 30 pounds.","Value",NA,NA,NA,3.33333333333333,NA,NA,NA,NA
"Learn how to use Adobe Photoshop. The basics within 2 months.","Clarity",NA,NA,5.5,NA,NA,NA,5.16666666666667,NA
"Learn how to use Adobe Photoshop. The basics within 2 months.","Consensus",NA,NA,1,NA,NA,NA,0.75,NA
"Learn how to use Adobe Photoshop. The basics within 2 months.","External",NA,NA,3.33333333333333,NA,NA,NA,2.6,NA
"Learn how to use Adobe Photoshop. The basics within 2 months.","Value",NA,NA,4,NA,NA,NA,3.44444444444444,NA
"Learn more advanced cooking techniques","Clarity",NA,NA,NA,5,NA,5.16666666666667,NA,NA
"Learn more advanced cooking techniques","Consensus",NA,NA,NA,1.5,NA,2.75,NA,NA
"Learn more advanced cooking techniques","External",NA,NA,NA,2.4,NA,5,NA,NA
"Learn more advanced cooking techniques","Value",NA,NA,NA,2.55555555555556,NA,4.55555555555556,NA,NA
"Learn new programming techniques for a new mobile game idea","Clarity",5.33333333333333,6.16666666666667,5.16666666666667,NA,NA,NA,NA,NA
"Learn new programming techniques for a new mobile game idea","Consensus",-0.5,0.5,1.25,NA,NA,NA,NA,NA
"Learn new programming techniques for a new mobile game idea","External",2.8,3.8,3.4,NA,NA,NA,NA,NA
"Learn new programming techniques for a new mobile game idea","Value",3.44444444444444,4.44444444444444,4.75,NA,NA,NA,NA,NA
"Learning to be patient with myself and with dealing with daily problems of life, need to reduce stress.","Clarity",NA,4.66666666666667,NA,NA,3.6,NA,NA,NA
"Learning to be patient with myself and with dealing with daily problems of life, need to reduce stress.","Consensus",NA,3.75,NA,NA,4.5,NA,NA,NA
"Learning to be patient with myself and with dealing with daily problems of life, need to reduce stress.","External",NA,5.2,NA,NA,4.2,NA,NA,NA
"Learning to be patient with myself and with dealing with daily problems of life, need to reduce stress.","Value",NA,6.33333333333333,NA,NA,6,NA,NA,NA
"Limit my caloric intake to 2,500 calories per day.","Clarity",NA,NA,NA,NA,NA,6.33333333333333,NA,NA
"Limit my caloric intake to 2,500 calories per day.","Consensus",NA,NA,NA,NA,NA,3,NA,NA
"Limit my caloric intake to 2,500 calories per day.","External",NA,NA,NA,NA,NA,4.4,NA,NA
"Limit my caloric intake to 2,500 calories per day.","Value",NA,NA,NA,NA,NA,4.44444444444444,NA,NA
"Loose 30 lbs, I would like to be down 10lbs in three months and hit my goal by the end of the year.","Clarity",6.5,7.33333333333333,NA,NA,NA,NA,NA,NA
"Loose 30 lbs, I would like to be down 10lbs in three months and hit my goal by the end of the year.","Consensus",3.25,1.25,NA,NA,NA,NA,NA,NA
"Loose 30 lbs, I would like to be down 10lbs in three months and hit my goal by the end of the year.","External",3.2,5,NA,NA,NA,NA,NA,NA
"Loose 30 lbs, I would like to be down 10lbs in three months and hit my goal by the end of the year.","Value",4.22222222222222,4.66666666666667,NA,NA,NA,NA,NA,NA
